0	0	8	15	9	3	0	48
11	9	5	12	20	6	2	45
13	10	11	15	33	7	3	28
14	11	10	20	36	9	11	25
15	13	9	8	43	20	0	22
25	14	9	8	52	22	0	24
34	16	13	11	65	24	0	17
54	27	15	0	76	41	0	33
56	57	12	0	85	67	0	8
75	81	0	0	92	69	0	10
76	136	0	0	103	78	0	26
104	144	0	0	118	0	0	32
109	147	0	0	129	0	0	21
124	163	0	0	146	0	0	37
146	164	0	0	160	0	0	68
174	186	0	0	167	0	0	40
178	193	0	0	174	0	0	18
179	195	0	0	186	0	0	26
181	207	0	0	205	0	0	8
186	209	0	0	214	0	0	21
189	267	0	0	251	0	0	23
190	282	0	0	262	0	0	28
200	288	0	0	275	0	0	50
202	300	0	0	287	0	0	28
214	309	0	0	300	0	0	48
233	340	0	0	311	0	0	28
257	357	0	0	318	0	0	36
275	360	0	0	326	0	0	27
276	380	0	0	341	0	0	5
277	459	0	0	348	0	0	0
278	471	0	0	359	0	0	0
306	481	0	0	368	0	0	0
313	482	0	0	396	0	0	0
337	484	0	0	405	0	0	0
342	486	0	0	414	0	0	0
346	498	0	0	425	0	0	0
363	500	0	0	435	0	0	0
366	501	0	0	444	0	0	0
371	502	0	0	456	0	0	0
406	513	0	0	463	0	0	0
407	526	0	0	0	0	0	0
409	534	0	0	0	0	0	0
410	536	0	0	0	0	0	0
426	553	0	0	0	0	0	0
427	574	0	0	0	0	0	0
447	593	0	0	0	0	0	0
456	596	0	0	0	0	0	0
461	0	0	0	0	0	0	0
461	0	0	0	0	0	0	0
462	0	0	0	0	0	0	0
467	0	0	0	0	0	0	0
496	0	0	0	0	0	0	0
503	0	0	0	0	0	0	0
505	0	0	0	0	0	0	0
506	0	0	0	0	0	0	0
507	0	0	0	0	0	0	0
523	0	0	0	0	0	0	0
524	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0

